model_name,epochs,optimizer,lr,batch_size,embedding_name,runs,seeds,test_acc_mean,test_acc_std,time_for_bests,best_epochs,id
BOW,50,Adam,0.0005,128,None,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.2567420814479638,0.01707891563740879,"[9.801535367965698, 9.64818286895752, 8.542159795761108, 8.836153030395508, 9.283772706985474, 9.454959392547607, 0.1775038242340088, 0.1765296459197998, 8.299490690231323, 0.37894678115844727]","[48, 47, 39, 46, 49, 49, 0, 0, 45, 1]",c0c3208b234e4004866cdc6210a29b57
CBOW,50,Adam,0.0005,128,None,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.36393665158371047,0.011341229763896092,"[16.85964298248291, 14.154884099960327, 16.137975931167603, 4.085327386856079, 13.906576156616211, 13.005574226379395, 12.946473121643066, 10.69231367111206, 15.782406568527222, 11.952302694320679]","[49, 43, 47, 11, 42, 38, 39, 33, 47, 37]",0847e53f5d6644529421ff790c5d4228
DeepCBOW,50,Adam,0.0005,128,None,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.35656108597285063,0.01727298148899174,"[8.28184723854065, 11.939554214477539, 9.222169876098633, 13.435246706008911, 14.765126466751099, 12.916373014450073, 14.990560531616211, 2679.4451146125793, 15.116515398025513, 12.931970834732056]","[22, 35, 27, 39, 45, 39, 46, 43, 46, 38]",041c4956da8e4d65bb72410d763bb41d
DeepCBOW,50,Adam,0.0005,128,None,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.3590497737556561,0.015316925882987898,"[13.392693281173706, 14.703518152236938, 14.698428392410278, 12.964628458023071, 12.581218242645264, 14.678253412246704, 15.852709531784058, 12.572466135025024, 16.003647565841675, 14.489848375320435]","[38, 39, 47, 38, 38, 42, 49, 39, 49, 44]",37b0f5eea48f492bad3a6e5a5032d80b
PTDeepCBOW,50,Adam,0.0005,128,glove,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4467873303167421,0.007479625690835785,"[2.3283004760742188, 3.1453304290771484, 1.4573256969451904, 2.6347858905792236, 4.32368278503418, 3.7408647537231445, 3.8967525959014893, 2.158385753631592, 3.603969097137451, 1.6861891746520996]","[6, 12, 5, 10, 18, 15, 16, 8, 14, 6]",eb836e2528f44951aaa54ad2653d7204
PTDeepCBOW,50,Adam,0.0005,128,word2vec,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4529411764705883,0.004493101027079239,"[3.055664539337158, 4.4989166259765625, 3.5759432315826416, 2.872267723083496, 3.5565667152404785, 2.4027762413024902, 2.4289703369140625, 2.2307753562927246, 3.495699882507324, 2.9059369564056396]","[9, 18, 14, 11, 14, 9, 9, 8, 14, 11]",d5638f4dd99440668f2a3b602d9b63b1
LSTMClassifier,50,Adam,0.0003,128,glove,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4630769230769231,0.008807155011838453,"[23.228408813476562, 68.7545952796936, 62.48393225669861, 66.62711977958679, 69.39619207382202, 66.52627301216125, 58.00717782974243, 69.69554090499878, 64.84640455245972, 78.95995950698853]","[9, 30, 27, 29, 30, 29, 25, 30, 28, 34]",505049f52849453a9600d4a5b13e4c9f
LSTMClassifier,50,Adam,0.0003,128,word2vec,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.45769230769230773,0.006730531574951818,"[47.52081894874573, 89.86971974372864, 79.45755648612976, 83.77825784683228, 66.55736064910889, 94.66935777664185, 51.74693727493286, 66.92404532432556, 72.03022050857544, 54.1435341835022]","[21, 41, 36, 38, 30, 43, 23, 30, 31, 24]",9df8b906a32d441299735daecf2948ca
TreeLSTMClassifier,50,Adam,0.0002,128,glove,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4667420814479638,0.0071063776989924365,"[161.63259506225586, 402.25684452056885, 368.7690689563751, 326.2202830314636, 378.4084544181824, 336.9250705242157, 394.95434641838074, 341.60810470581055, 413.266489982605, 265.9254500865936]","[15, 39, 36, 30, 37, 33, 39, 31, 38, 24]",7107c6776a0a4a8cb4d1ef88160e4355
TreeLSTMClassifier,50,Adam,0.0002,128,glove,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.46769230769230774,0.007512402472257598,"[198.39729380607605, 360.2247624397278, 332.57435417175293, 462.5103118419647, 388.36460399627686, 288.7565293312073, 352.4544608592987, 393.94072365760803, 304.84113931655884, 381.4593822956085]","[17, 32, 29, 41, 34, 25, 31, 35, 27, 34]",0653d687f3e9444bb78615ec6ef17eb8
TreeLSTMClassifier,50,Adam,0.0002,25,glove,3,"[0, 1, 2]",0.47254901960784307,0.003791796407232727,"[214.91839146614075, 334.3550343513489, 465.1385042667389]","[8, 13, 18]",34f99d5536b844ef917a7ced64859b30
BOW,50,Adam,0.0005,128,None,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.2567420814479638,0.01707891563740879,"[9.014508485794067, 8.412364959716797, 7.030508995056152, 8.445598602294922, 8.727346420288086, 8.702667951583862, 0.17151641845703125, 0.18721795082092285, 8.175174713134766, 0.3326563835144043]","[48, 47, 39, 46, 49, 49, 0, 0, 45, 1]",976d0e24e62e451895ebe72e509167a4
SubTreeLSTMClassifier,7,Adam,0.0002,25,glove,3,"[0, 1, 2]",0.5122171945701357,0.0030241233266611388,"[2798.3155722618103, 3261.6997363567352, 2800.8372523784637]","[5, 6, 5]",3078ec7d733d43e6831fbbf90606cc1b
